,shopid,itemid,rating_star,cmt,Sentiment
2320,4937640,26495075,2, Poor product quality,B
2321,4149345,13432637,5,so far it's okay! ,G
2323,4937640,35923599,5,smaller than I thought but works very well! ,G
2325,4149345,34399574,0,Why so cheap,N
2327,4937640,22564143,5,Brushes are so soft!! Worth the price! ,G
2334,4149345,19335053,3,The delivery for the torchlights were a bit slow. ,G
2335,4149345,15736347,5,great! but cannot refill perfumes with pressured openings which is quite a bummer ,N
2338,4149345,26966525,1,Hooks r very sharp at edges! Very poor finishing.,B
2346,4149345,14479774,5,Awesome!!! ,G
2350,4937640,21273421,1,"Faulty product, no reply from seller",B
2354,4149345,18269282,4,Worth the price ,G
2357,4937640,24095270,5,Leak a little every time after pumping,G
2360,4937640,22563855,0,Hi! Is this OEM from Nars?,N
2362,4149345,14480472,1,"TOTALLY SCAM, Ordered and waited more than a month, Didnt receive the product. seller gave fake tracking number. ",B
2365,4149345,13433352,5,Good!,G
2370,4937640,26495738,5,Slightly bigger than a new $1 coin,G
2374,4149345,15720616,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the iotem",B
2378,4149345,16742186,5, Excellent delivery speed Excellent value Excellent product  quality,G
2380,4149345,13426634,5," Good value for money
 Excellent service by seller
",G
2384,4937640,19345670,4,soft bristles but delivery took quite awhile,N
2386,4149345,237463843,5, Excellent delivery speed Excellent value Excellent seller service quality Excellent packaging Excellent product  quality,G
2387,4937640,16812173,5,great!!,G
2389,4149345,17708328,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the iotem",B
2392,4149345,13434748,5,Not bad! received items in good condition!,G
2394,4149345,46508803,4,Battery does not last,B
2396,4937640,16812206,5,great!!!,G
2397,4937640,18981759,2, Poor product quality,B
2398,4149345,16743208,5,Item received way before expected delivery date. Cheap & good! ,G
2403,4149345,24119084,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the item",B
2406,4149345,16427659,5,Not bad! received items in good condition!,G
2409,4937640,43305088,5,Fast and quick delivery. Item came in good condition and is really very cheap! Thank you!,G
2412,4937640,19349698,4,soft bristles but delivey took quite awhile,N
2413,4937640,24088098,5,👍🏻👍🏻👍🏻👍🏻,N
2414,4149345,42462759,1,Bluetooth is not working... totally waste of money.  Very poor delivery speed and Very poor product quality,B
2415,4149345,14480472,5,Thanks. ,G
2416,4149345,26966399,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the item",B
2417,4937640,50056038,4,It's quite ok.,N
2419,4937640,127979848,0,"I would like to order #1, #4 & #11. 1pc each please.",N
2420,4149345,16432163,1,Have not received item and seller is still unable to give me a definite response. ,B
2422,4149345,39576011,0,Hi could you give a better estimate of the delivery time as 4-25 is quite a wide range?,N
2423,4937640,19372664,5,Good for everyday normal use. Not waxed.,N
2425,4149345,16742186,1,Have not received item and seller is still unable to give me a definite response. ,B
2426,4937640,24088098,5,4th time purchase from this seller. Thanks,G
2427,4149345,104216188,4,Collar is much wider than expected. ,B
2429,4937640,112156309,5,I havent receive the bag yet,B
2430,4149345,15737299,4,"Delivery took slightly long, but overall satisfied with product and price :)",G
2435,4149345,26966656,5,Not bad! received items in good condition!,G
2437,4937640,17702687,3, Product quality is ok,G
2439,4149345,13433484,5,Prompt response and delivery ,G
2442,4149345,404269238,1,"Mailer forgot to put it in, so he refunded me quickly. :)",B
2444,4149345,16442329,5,Thx seller,G
2448,4149345,17708280,5,Thx sell,G
2450,4937640,106020164,0,so is there's no coin compartment?,N
2452,4937640,35279645,3, Product quality is ok,G
2453,4937640,103148802,3,Great product but only cures only UV light and cures slower than normal.,G
2456,4149345,14479774,4, Good service by seller ,G
2458,4937640,104771942,3, Product quality is ok,G
2461,4937640,206979572,5,"product was very good, price was extrememly reasonable!! hope to use it for halloween!! will buy agn!! #shopeehaul",G
2464,4149345,13432637,5, Excellent Item Quality Excellent Value Excellent Delivery Speed Excellent Overall Service,G
2466,4937640,104772116,3, Product quality is ok,G
2468,4937640,26495797,2,Not pigmented at all. ,B
2470,4149345,43856834,3, Product quality is ok,G
2474,4149345,14482801,5, Good value for money,G
2479,4937640,24095331,4,Small and better for under eyes,N
2481,4937640,18984937,5, AMAZING product quality and faster delivery than expected!!!  Excellent service by seller,G
2483,4937640,18945556,0,"Hello, is it matte? (:",N
2485,4149345,17707898,5,The pens come in super cute designs! Just be mindful that some of the pens tend to be more inky than usual! Other then that it's a great purchase! ,G
2486,4149345,66185065,5,great seller to deal with...sent me a free gift as they accidently sent the wrong colour🤗🤗🤗,G
2487,4149345,42089826,1,The accuracy of the this equipment is totally unacceptable,B
2489,4149345,57906487,5," Excellent service by seller
Very pleased with seller's service - seller is patient n prompt in responding. Will buy from this seller again in near future. Tks...",G
2491,4937640,18980338,2,Did not receive one of the item. Pls reply to my message.,B
2492,4149345,16749761,2, Poor delivery speed,B
2493,4149345,185816461,2,"Good pigment, colour different from picture, not matte at all, smells like fuel. Would not recommend ",B
2498,4149345,71921841,0,Hi,N
2505,4149345,15719640,5,It will be helpful if the product guide is included,G
2510,4149345,16431226,5,Item well received. Satisfied with all the prompt service. ,G
2511,4937640,26495113,0,@jaejaejae doe it expand when wet? And becomes soft?,N
2516,4149345,19342314,5,Item well received. Satisfied with the prompt service.,G
2518,4149345,13432637,0,Hmm im wondering do u do meet ups? Just asking,N
2519,4937640,18985268,5,"Excellent service by seller, Good value for money",G
2522,4937640,21273294,5,Slow delivery,B
2524,4149345,14479774,3,Product is sharp at the edges and some little bubbles on the display stand. Otherwise all else is great:) gd product at great price! Thanks,G
2527,4937640,17702205,5,Beautiful colours!,G
2528,4149345,42089916,4,The instructions were a bit wrong and confusing but it works fine. ,N
2531,4149345,258380890,4,"Smells funky, a little too hard, but works alright",N
2532,4149345,21419969,5,Item is definitely good 👍,G
2533,4937640,18985972,1, Very poor product quality,B
2535,4937640,104772116,5,Been using this.,N
2537,4937640,24088151,5,Good value for money,G
2538,4149345,13432519,3, Product quality is ok,G
2541,4937640,35923923,5,Good value for money,G
2545,4937640,97193745,4,Worth buying for small palette and less usage. Colors not all pigmented but have most basic colors.,N
2546,4937640,16812173,5,one of it broken but seller kindly refundt.ty,G
2548,4937640,26495797,3,Not so pigmented ,G
2549,4149345,49780104,5,Item took about 10 days to arrive but came in good working condition. ,G
2550,4937640,36621555,5,Good value for money,G
2551,4937640,17704793,5,i love it.,G
2553,4149345,49790653,3, Product quality is ok,G
2554,4937640,18982022,5,Delivery was fast. The buyer was nice and able to answer my enquiry! 😊😊,G
2555,4937640,17705699,4,received good.but box abot tampered.,N
2556,4937640,85958022,3,"Good value for money, colour not the same as shown in picture though",G
2557,4149345,16429172,5,Good packing and in order,G
2558,4149345,13423994,3,Seller sent not working items and helped me to replace those by sending out the working items with wrong color of strap after I reported. ,G
2560,4937640,85958051,4,Good value for money,G
2561,4149345,14479925,5,Smaller den expected ,B
2563,4937640,18982022,5,Delivery was fast. The buyer was nice and able to answer my enquiry,G
2564,4937640,18983260,5,i love it.mac eyeliner,G
2565,4149345,15247475,0,@kawaiichan of course,N
2566,4937640,22564347,2,one of the brushes broke. & one of it has a shaky handle. but bristles are soft,B
2567,4149345,15737271,5, Excellent service by seller,G
2570,4937640,18984937,5,"
",N
2573,4937640,18983802,5,good,G
2577,4937640,18983118,4,Not very pigmented. But for the price I think it's good. ,N
2579,4937640,18985414,1,dissapointed dry and almost empty n nothing. thought of buying 100pcs but lucky i bought 4 first.really bad impression not buying again.,B
2581,4149345,16742949,3,The motion detect sensor not very sensitive ,G
2583,4149345,86741665,0,win10 not supported? ,N
2586,4937640,61156559,2,You pay for what you get but I've bought better for less,B
2591,4937640,17702687,0,@s_nuraisiah  hi.. is the color pigmented?,N
2592,4937640,206979647,3, Delivery time as expected,G
2594,4937640,18985550,5,good,G
2596,4149345,17709172,4, Delivery time as expected,N
2599,4937640,18985619,1,box damage.all open up as box not wrap in plastic.,B
2600,4937640,18985619,3,good item but box badly tempered.really hope for better packaging,G
2601,4149345,49770593,5, Excellent service by seller,G
2602,4149345,86741665,5,Received but haven't try it yet,G
2604,4149345,14479514,5, Excellent service by seller,G
2608,4149345,13426504,5,Good Color but not much shimmer ,G
2609,4937640,18985848,1,good item but box badly tempered.really hope for better packaging,B
2612,4149345,13432637,5,Works well,G
2617,4937640,18986490,1,very dry.almost nothing.why i dont ask for refund is not worth the price sending them back.,B
2618,4149345,86741665,5,Delivery was considered fast because of the Lunar New Year Holidays. Credits to the seller for this. Product works exactly the same as the XBOX 360 wired controller. Thanks.,G
2622,4937640,19379045,5,Thx,G
2624,4937640,19378141,5,good,G
2625,4937640,112156309,0,How to order,N
2629,4937640,22563908,5,softn good,G
2630,4937640,26495713,5,"It works flawlessly, just a bit noisy. However for the price paid, really can't complain much!",G
2631,4149345,14482633,3, Product quality is ok Delivery time as expected,G
2637,4937640,26495647,5,good,G
2640,4937640,40486863,5,"Good mineral mud, very thick texture and feels good after applying. Only downside is that the removal process is rather tedious, but for this price-quality ratio, the product is impressive!",G
2641,4149345,15247462,3, Product quality is ok,G
2643,4937640,40486717,1," Poor product quality, got electric shocked a couple of times ",B
2644,4937640,18985414,0,Cheap and does not give any effect to lashes .,N
2645,4937640,19372664,5, Nice and Responsive Seller who knows her job well and every info regarding the product and delivery details is at her fingertips.Strongly recommend to buy from her.,G
2646,4149345,19313368,0,Compass and thermometer are good but not the whistle,N
2648,4149345,106452955,3, Product quality is ok,G
2651,4149345,24118966,5, Excellent service by seller,G
2654,4149345,13433484,3,Ok only... plastic body got a lot of sharp edges,G
2657,4149345,115953281,3, Product quality is ok,G
2659,4937640,19378368,5,Bought one as a gift for Christmas and my friend loved it! Got another one for myself :) ,G
2660,4149345,238833053,3, Product quality is ok,G
2662,4149345,42462741,5, Excellent Delivery Speed,G
2663,4149345,16443411,5,"Cool!! Used to open door and window to sleep, now can anti mosquitos 😁😁😁",G
2666,4149345,13432519,2, Poor product quality but good service,B
2667,4149345,42089916,3,When receive the box beside already broken.The product must be send in good.Hope next time buy will receive in good package.,G
2668,4149345,13433352,5,"Prompt delivery, the colander is medium size n the color is wat u see..its nice.. ",G
2672,4937640,22564113,5,$10+ for so many brushes = worth it! Seller was very friendly and efficient when I asked for the color of the brushes. Love the colors!! Would definitely purchase again if I need it in the future :) ,G
2674,4937640,18945556,0,@zofeerah yes,N
2676,4149345,13433352,5,"Prompt delivery, the colander is medium size n the color is wat u see..its nice",G
2679,4149345,14479774,5,Amazing lip holder!!! So glad i got it :) ,G
2682,4149345,16431852,5," Excellent service by seller. Product as described, thanks!",G
2687,4937640,24095270,5, Excellent service by seller!,G
2691,4149345,206469974,5, Good value for money but yet to try how it work the 30000 & how long can it be charged ..,G
2693,4149345,14481902,1,Super small,B
2694,4149345,14476821,5,Excellent service ,G
2695,4149345,13434748,0,Is it BPA free material?,N
2697,4937640,18983527,0,Eyeliner is so pretty!!,N
2698,4937640,26495797,4,"item was as described in the picture although colours are nt very pigmented, bt overall great purchase! 💗",G
2699,4937640,40486735,5,Bought 10 bottles of these before this purchase and it is definitely good for its price! ,G
2709,4149345,49790515,2, Poor product quality Poor product quality Poor product quality Poor delivery speed Poor delivery speed Poor delivery speed,B
2710,4937640,19377938,5,"Super cheap and it fits well for my clarisonic aria. Brush hairs are really soft, feels identical to my original brush head just that the plastic part used feels cheap which does not affect the use of clarisonic anyways. ",G
2712,4149345,24119045,3, Product quality is ok,G
2714,4149345,49790515,2, Poor product quality Poor delivery speed,B
2715,4149345,14476821,4,The cover was broken but it's all good! ,N
2720,4149345,13432637,1,Product quality not very good. Feels very plastic and the effect can only be seen if brought VERY near the wall,B
2726,4937640,26495094,3, Product quality is ok,G
2730,4149345,106452591,0,"@nooryasmeen  dear, it is ready stock now ",N
2734,4149345,43856834,5,"Love this colour, the price was reasonable, its not very matte & not very glossy just nice. 👍🏻",G
2736,4937640,44160990,5, Excellent service by seller,G
2739,4149345,43856834,2,"Product arrived in pristine condition, but it is not authentic BBIA. Seller never claimed that it was BBIA in the description so I should have realised. Pigmentation is poor and is not easy to apply. still usable if you're not picky. ",B
2743,4149345,43856825,3,Fish eyes lens are blurry ,G
2751,4149345,43856825,3,Fish eye lens are blurry ,G
2752,4149345,16430420,5,"Feels like High quality, gonna buy a second piece 👍🏽",G
2753,4149345,66180133,5,Fast. Deal again. Thamkyou,G
2754,4937640,40486884,1,Never arrived at all. Seller claims item to be on the way,B
2755,4149345,15250829,0,"@heymermaid Dear , It normally takes 5-10 days to arrive your address , but sometimes maybe a little delay because of the problem of the weather , the Customs or your address , you can contact with me in chats when you have not received your order for a",N
2763,4149345,86889199,0,"@aikazumirei sorry , dear , it is all complete set, we cannot split it ",N
2767,4149345,16427399,5,Remote working for dailin ac. Thanks ,G
2769,4149345,16431670,1,Missing all the parts in the pack. Only the main unit was in the pack. Cannot be used at all!!!,B
2771,4149345,13427298,0,Hi product from which country?,N
2773,4937640,24095270,3,Got no instraction of how to use it.,G
2774,4149345,16426604,0,@blupzx was it effective?,N
2784,4149345,16430598,1,Totally fallen apart after abit of trying out. Couldn't unscrew the macro lens after screwing the lens on. Please save your money.,B
2785,4937640,16804489,0,Hello can cash on delivery,N
2789,4149345,57201880,3, Product quality is ok but not suitable for iPhone 7 plus as it is too heavy,G
2791,4149345,13432925,5,awesome made my room more classy 😂,G
2792,4937640,18985005,2,No glitter as advertised.,B
2795,4149345,49790653,5, Excellent product  quality,G
2798,4149345,15249491,5,"Quality brushes and very light, soft yet sturdy to blend. But plastic handle have some colour paint chip off. Overall still satisfied for the price paid",G
2799,4149345,17709916,1,"Noisy even though it is stated no noise. Wind is super weak. Don't waste your money on this.
",B
2804,4937640,100428125,4,Delivery is a little delayed but the shimmer looks great ! idk why mine has a black spot on it tho .  Good service by seller !,N
2806,4937640,18983118,0,Do u do a meetup?!,N
2810,4149345,17707970,3,The lighter doesn't function. Tried lots of time but failed...,G
2811,4937640,26495649,2,A few sets were found with broken pieces of eyeshadow colour. ,B
2815,4149345,49790527,5,Very nice,G
2821,4149345,13432519,5,Superb product for such a price! ,G
2822,4937640,22564159,1," Poor product quality, brushes aren't smooth on the face",B
2824,4937640,18985414,0,Cheap but has no effect and not waterproof.,N
2833,4937640,26495797,4, Product quality is ok,N
2839,4937640,282750352,2," Poor product quality+ Poor delivery speed. Item came in a poly mail with horrible support of styrofoam sponge, no bubble wrap to support the item. Boxes look like they were opened and was easy to open. They were dented too. Bought 3 fans and only 2 work. Pink fan didn't come with the battery & wire",B
2841,4149345,17707091,5,"using this to hang at my toilet window sill. As mentioned in the item description,is suitable for doors of thickness 2.3cm, so will not fit over most singapore's room doors",N
2846,4937640,21273379,5,Product well wrapped and delivered ,G
2847,4937640,282750352,2,"Comparing to the black fan ( working ) , you can see that the pink fan is spoiled",B
2852,4149345,46509044,0,So nice..,N
2853,4149345,46508803,1,"Item not working,  good seller that offers a refund ",B
2856,4937640,16803999,2,"Not impressed/sastified with the product at all. Except for the liquid eyeliner, eyelash and brush cleaner, the rest of the items are horrible. The eye shadows that I bought are not pigmented and not true to the color at all. Really disappointed. However, eyeliner and eyelashes are good!",B
2857,4149345,46575090,4,"the pen came nicely packed & it's exactly as shown in the pic. seems to be of good quality, very satisfied :)",G
2859,4937640,282750352,2,"Waiting for the seller to advise on the spoiled pink fan, the other two white and black fan works perfectly and would be a overall good buy if the pink fan is not spoiled",B
2860,4937640,103150845,1,"When the product arrived, it was broken. Spoke to seller and seller insisted that I could only get another one if I bought another item from the site. The seller refused to give any refund at all. ",B
2863,4149345,13431702,4,"It is a little shaky indeed, hard to bend (really very hard in fact) and I ""Kiaped"" the thing on perhaps a thicker bar hence it was moving. But for this price it's fine. Just that it may not work well then I wonder what's the purpose of buying :( iphone 6s",N
2868,4937640,18984937,5,"This eyeliner is really pigmented and smudged proof! However, not really waterproof hence slightly disappointed. Not being waterproof aside, everything is perfect! Cute packaging, pigmented and smudge proof! Worth the buy!!",N
2870,4149345,14477372,5,For 1.20$ it is indeed worth it! Smooth brush bristles didn't drop any hair.,G
2873,4937640,104304937,5, Excellent service by seller,G
2874,4937640,515183636,5, Excellent service by seller,G
2877,4149345,14485117,5,Item Received thanx alot!,G
2881,4937640,107241061,1,its more or less okay i guess . Item received. ,B
2882,4149345,14479774,5,"Looks good!!! Good price as well. Delivery came earlier than expected, not bad. Item wrapped v securely. ",G
2884,4937640,273164985,5,"Normal product quality, feels like the zip will spoil anytime. Delivery took quite some times but acceptable for me. Love the items ~ ",G
2885,4937640,16812206,3,Not pigmented at all and the shades look similar with each other in real life rather than what is shown in the pictures.,G
2886,4149345,14482633,5, Fabulous,G
2887,4937640,18985848,5,Extremely satisfied with this fake eyelashes! Have an extremely soft bone and gives off a really natural look! Worth the buy!,G
2888,4937640,110139884,3, Product quality is ok,G
2891,4149345,14481739,5,Cheap price and good material!,G
2892,4149345,30004477,4,Product still ok abit dented here n there at the handle area,N
2893,4149345,35945132,5,Well packed but yet to try out,G
2897,4937640,112156353,5,FAST DELIVERY. Good quality!! Amazing cos packed with bag cover as well!!!,G
2898,4937640,19379090,5,"Have yet to try, but overall it's good!",G
2899,4149345,15719000,5,Best purchase I've ever made :),G
2904,4937640,210159388,4, Product quality is ok,N
2905,4937640,22564312,3,Came late. But good ,G
2906,4937640,16812206,5, Excellent service by seller,G
2907,4149345,24119061,0,Are these instock?,N
2909,4937640,19347989,5,good,G
2910,4937640,98140981,3,"Product quality is ok, just that the colours are not pigmented nor are they true to the color. Color wise is very light as compared to what is shown. However, some colors are really nice, hence it's not a bad product!",G
2911,4149345,15250953,5,True to picture and cheap price,G
2913,4937640,96340660,5,i have not receive my brushes,G
2915,4937640,19378368,5,Thx,G
2917,4149345,15251041,1,Had some defect :( brush can't be closed inner layer can't be pulled up.... Will talk to seller,B
2919,4937640,104304937,1,"Not only are the colors not pigmented, but it is also not true to the color. Color is way off from what is shown on the palette/photo. The third shade from the top row should've been a darker color, but when swatched on hand, it was medium-light orange. There are drop off everywhere too.",B
2926,4937640,104771400,5,awesome,G
2927,4937640,127979848,4,"Color wise is good however, it's not waterproof nor it's long lasting. ",B
2928,4149345,14476821,5,"item came in good condition but no box, will definately deal again as its super worth it, recommended! but courier company has very bad service this time round so 0 stars for courier, it was my worst courier experience as deliver suppose to be 10-6 and they came only in evening! not professional!",G
2930,4149345,15737299,5,Good and true to picture,G
2931,4149345,14477372,5,"Could have pack the wall stickers better. 
Happy to receive item fast.
Thanks. ",G
2933,4149345,16427659,5,Really work well. Packaging perfect. ,G
2936,4149345,14479925,5,"item came in good condition but no box, will definately deal again as its super worth it, recommended! but courier company has very bad service this time round so 0 stars for courier, it was my worst courier experience as deliver suppose to be 10-6 and they came only in evening! not professional!",G
2937,4149345,16751702,5,Good,G
2941,4149345,16431852,5,"Received item in good condition even tho the box is a little dented. Have yet to try, will update it after usage! ",G
2944,4937640,104304937,3, Product quality is ok,G
2945,4937640,282750352,5, Excellent service by seller,G
2946,4149345,24119065,5,Great,G
2949,4937640,313634389,3, Product quality is ok,G
2950,4149345,237463508,3," Product quality is ok, doesnt really work? ",G
2951,4937640,155675738,5,Hello! I have received all my stuffs. At first the bags didnt come together in the same delivery. But i received it today and i loved all the items! The travel luggage are exactly like the photo and its super pretty! Its not very hard on the outside but its good to hold things. ,G
2957,4937640,315187569,3, Product quality is ok,G
2959,4149345,24119096,4,Delivery takes awhile. Product came with bubble wrapped. However there's a little scratch at the top left side of the glass. Product is simple and nice. Now i'm able to keep and display all my watches. 🤗,B
2961,4149345,13432637,4,Box was dented and item itself has lots of scratches when arrived :( ,B
2962,4149345,54768146,0,@aniswek thank you .could you kindly rate us for 5 star╰(*´︶`*)╯？we really appreciate it.Thanks and have a great day!,N
2963,4149345,15247434,4, Product quality is ok Poor delivery speed Good service by seller,N
2964,4937640,24095270,4,Everything is good except that it's a little difficult to press the nozzle,G
2965,4149345,14481902,5,Thx gd seller,G
2966,4149345,16430598,5,Function well.. just a little scratch on the glass surface. .,N
2969,4937640,26495672,4,Item is bigger than I thought. Size is bigger than my current 38ml bottle ,N
2970,4149345,14480848,5,Thx seller,G
2972,4149345,13432637,4,"Box is dented, parts of the projector fell apart. Quality not as good as I expected it to be. ",B
2973,4149345,21422231,4,Function well.. just a little scratch on the glass surface and the led light a bit loose. . ,N
2975,4149345,16751034,5,Thx seller,G
2976,4937640,19379090,0,"@carinawong28 dear we don't meet up ,we just pay online",N
2977,4937640,24088098,0,Can I pay you in peso? Philippine Peso?,N
2978,4149345,238809445,5,Received item in very good condition! ,G
2980,4149345,15736347,5,Just received the item by postman,G
2983,4937640,40486729,5,Havent used it yet.,N
2984,4149345,238809445,5,Received item in very good condition!! ,G
2985,4937640,100428149,2,Have not received production ,B
2986,4937640,90548692,2,ordered 3 sets (3pcs per set) so supposed to have 9 pieces but instead got it only for one set. :(,B
2988,4149345,13432519,5, Excellent Value Excellent Item Quality Excellent Delivery Speed Excellent Overall Service,G
2994,4937640,26495649,1,"OPENED AND FOUND ALL BROKEN! 😡😤

All the products delivered are having broke pieces as per the picture. I would like to make other customers aware. If you want to buy always Check for feedback before buying . ",B
2996,4149345,13432974,5,Item recieved faster than expected arrival days but it is inevitable that the stickers can get folds and crumpled up due to shipping issue. Nontheless i still love it. No complains for the price paid :),G
3000,4937640,104771480,5,Omg I love this wtf for the price this is insanely pigmented????? ,G
3002,4149345,42089846,2,Not useful ,B
3005,4937640,206979572,5,Colours are not the same as the original palette but overall some Colours are still wearable but most look abit too off (think ugly yellow instead of gold and Barbie pink instead of maroon) however for the price there isn't much to complain about. Would suggest people to get the Kyshadow inspired,N
3006,4149345,14479774,5,"Good. Received all today. 
",N
3017,4937640,100429362,5, Excellent service by seller,G
3018,4149345,14479356,5,"Good
",N
3020,4149345,16429253,5,V good quality tqvm ,G
3021,4937640,24088202,4,Value for money,G
3024,4149345,16431050,5,"Item received, tested, working.",G
3027,4937640,24095270,0,"@kois88 Thank you, welcome shoppin here again~",N
3028,4149345,232365557,2,Item broken and also missing,B
3032,4937640,22564113,5,very fast and reliable and nice!!! super soft definitely happy with its price!!! :-)))))),G
3033,4149345,15719514,5,Thx,G
3035,4937640,51424413,3,It's only sticky on 1 side. I tot it was double sided ,G
3038,4149345,15249812,1,"Want to cancel my couple of items & Shoppee informed me only seller side can cancel. So when I tell seller to cancel, they insist they cannot cancel & ask me apply refund! If they refuse to follow Shoppee rules and regulations, than I feel strongly is unfair for buyers. ",B
3041,4149345,49790575,1, Very poor product quality! Seller stated that Cotton blended but I received not even cotton. Sorry seller. I just realised that this product is very bad and not recommended for shopee customers. I need to say the truth just for the sake of others. 🙏🏼,B
3043,4937640,18985848,4,Not bad but seems like it's made from threads ,N
3049,4937640,40486735,4,Good quality product. Only downside gave too many of the same colour instead of spreading the colours.,N
3051,4149345,19313385,0,Long delivery time. Took > 1 month to arrive.,N
3053,4937640,16803533,4,item recieved :) not the best quality but good enough for its price !,N
3057,4149345,14483736,1,the cable cant even fit into ipad 2.,B
3058,4937640,18986068,3,Glue is very watery. Tried to squeeze a bit out but it got all over my fingers ,G
3062,4937640,206979462,1,Completely no shimmer at all ,B
3063,4937640,16803914,5,item recieved :) not the best quality but good enough for its price !,G
3065,4149345,13431702,5,Good,G
3066,4149345,15735466,5,Workable and fast delivery. Thank you. ,G
3068,4937640,19347989,4,Smaller than I expected but quite soft ,N
3070,4149345,15735788,4,Took long time to received,B
3071,4149345,34392856,5,Item as per description,N
3073,4149345,14482801,5, Excellent Item Quality Excellent Value Excellent Delivery Speed Excellent Overall Service,G
3074,4149345,15249158,3,"Doesn't hold on top after opening it, cheap quality",G
3075,4937640,16812173,4,item recieved :) not the best quality but good enough for its price !,N
3076,4937640,17705773,5,"Super worth it for the price. Colours are gorg, goes on really smooth as well!",G
3079,4149345,16432116,5, Excellent service by seller,G
3080,4149345,238809445,5, Excellent service by seller,G
3082,4937640,17702687,2,Fast deliver but the colours are not really working except for the darker colours,B
3087,4937640,19372664,5,Normal ,N
3088,4937640,17705522,5,Great colour pay off. super pigmented and non drying yet matte. great deal👍🏼,G
3090,4149345,13433352,5,"Good condition, no flaw. Exactly as photo. ",G
3091,4149345,17708544,1,"Bad eyelashes, not sticking at all, Hv tried 5 pair n coming out even if I put too much glue. Not happy",B
3097,4149345,13432637,0,"@katelenka this seller ignored me after we made the deal and paid for it, only after threatening her and posting ''beware of seller'' then she reply. I can't even refund just now cause the money I paid was not confirmed yet, after it was confirmed",N
3099,4937640,24088098,2,Definitely a used item. ,B
3101,4149345,14476821,5,seller resent item and i recieved fast after he/she made a mistake. item was in great condition! will purchase again!,G
3104,4937640,26495647,4,item recieved :) not the best quality but good enough for its price !,N
3108,4149345,14481739,4,"Delivery took 2 weeks and item got some light scratches, but hey it's only $0.20, no complaints and happy with this good buy. ",N
3109,4937640,26495723,5,so much bigger than I expected ! really good quality too! in love ❤️,G
3110,4149345,71922556,3, Product quality is ok,G
3112,4937640,206979572,4,Not bad ,N
3115,4149345,15719000,5,"Delivery took 2 weeks, was surprised to receive 5 pcs (diff type) , I thought price paid was for 1 only, happy with this purchase. Seller made good effort to wrap it nicely. ",G
3116,4937640,24088111,5, Excellent service by seller,G
3117,4149345,19313385,0,"Long delivery time, tool more than 1 month to arrive.",N
3118,4149345,14481848,5,Received in order and faster than the expected delivery date. ,G
3120,4149345,54768146,0,"Good quality, fast responses, fast delivery 👍👍👍",N
3121,4937640,26495039,5,Quite big ,G
3122,4149345,104058234,5, Excellent service by seller,G
3123,4937640,19378141,3,Product quality is great. But delivery speed and service are poor. ,G
3125,4149345,14481902,4,Sponge is quite stiff and it's actually a mini one!! But for the price I think it's reasonable. The delivery was quite Long also so buy if you can wait for it . :) ,N
3126,4937640,22564113,5,Received in good condition & its wrapped safely! The brushes are amazingly soft. Didnt expect it wld be good quality for a very low price! Worth the buy!,G
3127,4937640,26495797,3,Colour pay off isn't really great. Also received the product with a shattered mirror and some of the eyeshadow palettes chipped off. ,G
3128,4149345,14486300,3,Good delivery time and product quality is ok. Brush is dirty and small (used before?) + liquid only less than half bottle (unless it is supposed to be like that?) ,G
3130,4937640,44564393,3,Product quality is great. But delivery speed and service are poor.,G
3131,4937640,90548692,3, Product quality is ok. Only receiced 2 pieces and it wasnt in the packaging shown.,G
3134,4937640,100428088,5,Light texture and nice fragrance! Highly recommended!!,G
3135,4937640,18981759,3, Product quality is ok,G
3136,4149345,13425735,5,Received in good conditions but do take note it doesn't come in the box like advertised. Items however are true to pics. 👍👍👍,G
3137,4149345,14482239,5,Received in order and faster than the expected delivery date. ,G
3138,4149345,320486094,0,"@skulls_bones Dear , it is ready stock now , you can place a order now if you want to buy it , we will ship out soon ,and we will check before we send it , any quality issue happened，we will take responsibility of it, do not worry ",N
3140,4149345,71922009,5,"Exact to picture, great fit",G
3143,4149345,14477798,5,"30 pcs individually packed, received in good condition! ",G
3144,4937640,98141210,3,Product quality is great. But delivery speed and service are poor.,G
3145,4937640,112518084,2, Poor product quality,B
3146,4937640,18984937,4,Delivery was slightly slow but item arrived in excellent condition. ,G
3148,4937640,51424545,3, Product quality is ok. You get what you pay for.,G
3149,4149345,15247463,5,Item received in good condition~,G
3152,4937640,94479454,3,"Not bad. Comes with box and case. 
Additional info: soaked it in alcohol and white spots appeared. Not sure if safe to use ",G
3153,4937640,16812206,4,The colour don't come off really well,B
3154,4937640,51424545,3, Product quality is ok. You get what you pay for. ,G
3155,4149345,14479774,5,"Second time buying, worth the money! ",G
3161,4937640,19346757,5,Delivery was slightly slow but item arrived in good condition,G
3163,4149345,14482633,4, Product quality is ok ,N
3166,4149345,15736397,4,Good delivery.. dashcam got scratch on screen uh ,B
3168,4149345,15720360,5,Worth the money! ,G
3169,4937640,265637027,3,Product quality is great. But delivery speed and service are poor.,G
3170,4149345,17708159,5,Worth it! ,G
