,userid,shopid,itemid,rating,rating_star,comments
1732,2740643,4159855,30043225,0,0,@hazzeeqry Ordinary je. Like a whistle. Tp okay.
1735,4101494,4159855,35548551,0,0,Not useful
1738,30940964,4159855,33475415,0,0,Stock ada lg x?
1755,4141575,4159855,30045567,1,5,Really nice and i loved it! But it's a little bit smaller than what I'm expecting though... Overall great product! Definitely considering getting another one!
1758,7046321,4159855,34049855,0,0,The boss has no stock
1760,7274082,4159855,44902488,0,0,Pm
1763,1075308,4159855,33114147,0,0,That's right.
1764,522906,4159855,34049834,0,0,@missmiema ok so camera ni?
1767,3864529,4159855,35391694,1,5,It takes 1 month to arrive at Malaysia. Item in good condition
1770,2086498,4159855,30229750,0,0,Is there a zip?
1782,23136888,4159855,41772374,-1,1,item not working
1783,6405684,4159855,46156099,0,0,Postage here kira mcm mna ekh?
1793,3939896,4159855,30265334,0,3,Just ok..
1796,1511623,4159855,44933545,-1,1,this stuff is broken :(
1800,1607710,4159855,127314851,-1,1,Very poor product quality
1801,7796098,4159855,46058827,0,0,@maryamarchellows does it has usb to connect with laptop or phone ?
1802,9174239,4159855,30229593,0,0,It is still available?
1804,10973835,4159855,128485927,0,0,No control button?
1805,6357602,4159855,41645868,0,0,if i want the glitter gold one what is the code for that?
1809,22967536,4159855,46858161,-1,1,Very poor service by seller
1817,6329156,4159855,29733736,1,5,Waste money !
1819,9670085,4159855,30995952,1,5,Cantik!! Glowing in the dark n can be used for ip6 plus!
1825,5290088,4159855,30261380,0,0,so bad
1826,1566378,4159855,34049859,0,3,Product quality is ok
1834,21452762,4159855,58727574,0,0,there is still more stock walkie talkie
1840,11586304,4159855,34430107,0,0,1 color only?
1844,17710616,4159855,114409102,1,5,Excellent service by seller
1847,6080996,4159855,30065424,0,0,u sale this thing or no ?
1853,13941803,4159855,37519546,0,0,Is there any other colours ? I would like to order a blue one :D
1860,12463632,4159855,38056931,0,0,Pm.. wssp no please
1862,16365933,4159855,30025748,1,5,Thanks..
1863,4110797,4159855,34463963,0,0,@ queen43 @ayuhaizalisqandar hye awak pakai kalau duduk berlipat tak
1865,22342631,4159855,33770539,0,3,"Product quality is ok, but the cable for the jack is a bit lose and always disconnect from the audio. Overall it's okay product."
1868,5441819,4159855,54673761,1,4,Not bad
1871,6647124,4159855,33132089,0,0,Ready stock??
1873,10723697,4159855,44234068,0,2,"Chat respon is good, but the colour i want they don't have after payment, item not really same on picture thats why its suitable with the price"
1874,1511623,4159855,36014590,0,0,2 pcs for rm 7.40 ?
1875,8434039,4159855,30016359,1,5,. I like it.. 
1893,11285663,4159855,44881223,0,0,"@fifaaa_  hi FIFAAA, thank you for confirmation :-)"
1897,23035830,4159855,74677041,0,0,The price of how many bosses
1903,3819249,4159855,31291550,0,0,Rm8.50 a set to
1910,5450798,4159855,30064027,0,0,"Tracking kmu udh check? Sy pn want order ni glove, tp tkut tdk smpai pla"
1932,9001833,4159855,38056931,0,0,All the colour still available?
1934,7762400,4159855,36014653,0,0,Ready stock??
1938,8517501,4159855,44883377,-1,1,Bad service
1944,7996413,4159855,30046164,0,3,Product quality is ok
1963,19850004,4159855,67426619,0,2,Poor product quality
1964,8895344,4159855,36014569,1,5,Thank you for your service
1965,6497320,4159855,42627460,0,0,Still available? ???
1976,8314137,4159855,33436840,0,0,Ready stock?
1981,4539619,4159855,46888347,0,0,Pm
1982,7551517,4159855,30259985,0,0,Pm 0134070040
1983,7909988,4159855,30996070,1,5,Excellent service by seller
1984,4578634,4159855,33770400,0,0,available ?
1991,7588961,4159855,36014644,0,0,Have stock? How long shipping?
1996,8869711,4159855,46057057,1,5,new je until continue to wear ... best bebaloi wait a long time
2003,6563148,4159855,30024435,0,0,The item not good....
2009,1310927,4159855,67433255,1,5,The seller is extremely patient & answered all my queries. Highly recommended!
2012,8316453,4159855,36657659,0,0,Brand camry
2016,10510932,4159855,33770431,0,0,@ Amiruel_sterhill 93Campa 1 star J? Till the Elok's Mp 3?
2019,7094125,4159855,33475431,0,0,There is stock x what price
2020,12802053,4159855,30259985,-1,1,Very poor product quality..parcel did not arrive at all and im still in processing of emailing to get a refund..very dissapointed and advise u to double check everything
2028,9483383,4159855,46536690,1,5,Excellent service by seller
2032,19850004,4159855,67426785,-1,1,Poor product quality can not be worn because of loose back
2036,8352053,4159855,46201730,0,0,Hi this system is that work how the safety
2037,3023376,4159855,37799225,1,4,Received goods in good condition.ty!
2038,9338740,4159855,33770546,0,0,Pm
2041,8437342,4159855,36657620,1,5,A polite seller. Recommended
2045,2554465,4159855,30042985,0,0,To share bnyk dish to 1 decoder ......
2054,644256,4159855,127321471,0,0,Still available?
2059,11960860,4159855,30265823,0,3,Very slow delivery  Service by seller is ok Product quality is ok
2061,5171321,4159855,46063582,0,0,Where does the sound come from?
2073,7396931,4159855,34049834,0,0,@ayiee7707 camera ok x
2079,7656205,4159855,33437141,0,0,"Do u have contact number bos,or whatsapp?"
2095,8103486,4159855,33132085,0,0,@ lela.aizat maybe tgk on hdphone type .. But mmg until lanie is left jaa ..
2101,13853425,4159855,33475457,0,0,About pay gmn .... want me
2104,7716096,4159855,34049918,0,0,Is this be dimmed?
2112,15142134,4159855,36014559,0,0,Total price if i just buy this ?
2114,2403958,4159855,49690009,0,0,Can play back ?
2121,590016,4159855,33437004,0,0,As a result the rated time will be adjusted
2129,9539109,4159855,43807676,1,5,"Poor sound quality, but penny goods, what kind of price is good sound quality"
2130,8001193,4159855,33437006,0,0,his cool cloth x?
2132,3431722,4159855,49198725,0,0,"Does this include sd card,?"
2138,15782400,4159855,30042985,1,5,damaged items ... 3 holes can not be used ... in order to compensate ssh ssh
2141,13040376,4159855,37519519,0,3,Price Satisfactory
2145,9710969,4159855,34049834,0,0,What is the promo code?
2148,350950,4159855,33114213,1,5,Great product!
2152,11545643,4159855,46156099,0,0,Ready stock ke?
2158,15422469,4159855,32149776,0,0,Hye .. I want to ask for a short delivery shortened because I want to wear it at the end of the month .. Dah chec delivery 18-28 april
2161,11661495,4159855,33770546,0,0,Hi.  Still have stock for this mp3?
2166,16377607,4159855,29733726,1,5,"Receive items  good,functioning,nice and quality."
2169,7699959,4159855,30047219,0,0,Party over already but items yet to arrive despite seller said that he has ready stock. Poor delivery service. Almost 2 weeks from ordering date.
2171,13019335,4159855,29733726,0,0,bole reply comfirm ke .. rm71.80 untuk 2biji walkie talkie ..? 0196548799
2173,6876432,4159855,32062123,1,5,Good seller
2175,12648730,4159855,29733726,0,0,@ahliasarazie for 2 seeds?
2178,16572212,4159855,125081035,1,5,"Good product n good seller, help to buy again"
2180,9471521,4159855,54663376,0,0,For order?
2185,4828584,4159855,34049834,0,0,this camera can use sd card ?
2191,4125506,4159855,44902745,0,0,How do you order sis?
2193,5163372,4159855,34430083,1,5,Thank you for keep descreet about personal information 
2196,9753509,4159855,33770542,0,0,Hello  ni ready stok ke?
2202,8092745,4159855,63008212,0,0,hook or rod style?
2203,866127,4159855,30974422,1,5,Trusted
2204,6496090,4159855,30267494,1,5,i love it. . . now i can flip2
2206,5629485,4159855,30969145,0,0,Hi..the led light is it rechargeable. ?
2209,1354831,4159855,37519562,0,0,"@lynadea no camera..flying time is 4-5 mins, 20-30mins charging"
2214,1935010,4159855,122460710,0,2,"The item looks good in appearance, however one of the button is faulty hence I can't adjust the channel or volume, and there's too much noise in the background. Sadly, it looks good but I can't use it."
2221,8137831,4159855,49180166,0,0,There is?
2222,5006161,4159855,36657617,0,0,"Hello,it said rm9 off shipping if spend minima rm10 but why when im placed order two item still need to pay shipping??"
2224,22528678,4159855,232320257,0,0,Postage what ... to free postage on the peninsula
2227,5059757,4159855,30044967,0,0,Can be use to tab battery?
2230,7643248,4159855,34464096,0,0,Can its connect to phone
2234,16615047,4159855,44882429,0,3,"Product quality is ok but already deal for left part , still the right part coming.."
2239,6812388,4159855,30050199,1,5,Fast action...tq
2241,7903824,4159855,35312660,0,0,U hv the charger?
2250,4809561,4159855,30969138,-1,1,Didn't receive the item even after almost 2 months
2252,5290088,4159855,30064571,0,0,don by
2253,5838828,4159855,46057057,1,5,Received in good condition & fast delivery.
2261,17988967,4159855,63008927,-1,1,Very poor product quality
2266,3223036,4159855,32062108,0,0,there is another tk
2273,2116208,4159855,58724189,0,0,Pm
2275,8504497,4159855,43352009,0,0,Hello
2287,9549959,4159855,49697532,1,4,Good
2298,7390305,4159855,37799209,0,3,Price is Ok
2304,5489517,4159855,30969138,0,0,In 2 weeks until ... Very nice
2306,7893849,4159855,46156099,1,5,"Nice product! Very very satisfied! Love it. Solid shape, solid leather, exactly the same like in the picture. :)"
2307,2367482,4159855,33770405,1,5,"Very good service
Thanks seller :D"
2309,9980198,4159855,46537534,0,0,Hai quality ok x? @shahiela12
2311,3331464,4159855,63008212,1,5,Vry gud seller n explains vry well about de items... 
2314,3775138,4159855,33114147,0,0,Is a Wow price!! Seriously??
2317,6571327,4159855,55902101,0,0,nk order cmnee
2320,7145140,4159855,44881223,0,0,@izzkafazenan hii too btw
2322,8607675,4159855,34658446,1,5,tq....very good 
2324,7856415,4159855,46058673,1,5,Excellent service by seller
2334,15323715,4159855,29733765,1,5,"Poor quality, the package revived without protection "
2341,7145140,4159855,44881223,0,0,"around two week... because it will be sent to semenanjung malaysia, then here in sabah.. sabah and malaysia is further too.. it take 3 days to send an item from semenanjung to sabah"
2343,7790980,4159855,30982902,0,3,Out of stock and seller asked to change to other item with same price
2351,8932244,4159855,49189582,0,0,Have stock?
2357,5681684,4159855,49193864,0,0,Post to selangor how many days to arrive?
2361,8153872,4159855,29731514,0,0,How much including postage? Is this still available?
2362,16999389,4159855,43352009,1,5,Excellent service by seller
2365,6403915,4159855,36657617,0,0,Close all the x mirrors for axia ...?
2367,11805435,4159855,36014653,0,0,Hi
2370,25192874,4159855,36014653,0,0,ready stock sir??
2371,5006161,4159855,34463975,0,0,"Hello,it said rm9 off shipping if spend minima rm10 but why when im placed order two item still need to pay shipping??"
2374,6849360,4159855,33475434,0,0,may i check what is being displayed on the LCD screen? the name of the song?
2375,8741637,4159855,47513630,0,0,Kalo post .. Brapa hari ye smpai ..
2377,6365533,4159855,43352009,0,0,What is the size?
2378,2545484,4159855,33475447,0,0,slmt pg bos.. item ready stock ke..?
2381,4587323,4159855,34430107,0,0,Its yours...just change it...
2383,8281412,4159855,46160176,0,0,Can i change the battery with this
2386,7475092,4159855,42627460,0,0,Still available
2387,15974732,4159855,30046605,0,3,When pairs of objects ni signal decreased ..adooiii
2390,2980907,4159855,29733734,0,0,Blh in water to
2392,7796098,4159855,44881223,0,0,@fifaaa_ okay thank you
2393,21758728,4159855,232320257,0,3,Slow update from seller. 
2395,10724925,4159855,74677041,0,0,.
2396,13096079,4159855,128988687,0,0,How to select color?
2402,5992038,4159855,32062154,0,0,not free shipping??
2403,8178919,4159855,58724189,-1,1,Terrible Quality
2408,13318202,4159855,49188522,1,5,Excellent service by seller
2412,7751868,4159855,30046993,0,0,There was a crack in the mirror. Jdi wants to exchange
2418,8086995,4159855,34049870,1,5,best buy..very satisfied with the quality of this item..looking forward to buy other product from this seller
2421,23661172,4159855,30064571,1,5,"It's up to you, it's just okay.
Chips on the edge of the laptop do not ..
Mcm where to make ea ..
In the designated image there is ..
It's a small black thing .."
2425,25415800,4159855,44882429,-1,1,Very poor product quality tak boleh cas..
2433,12080470,4159855,46059763,0,0,@yeenaziz think its x join in mcm dlm gmbr la yer. Huhu
2434,12529838,4159855,30065594,0,0,@bee476405 @bee476405
2436,3939896,4159855,30064571,0,3,Just ok only..
2439,1308882,4159855,32062144,1,5,Fast service 
2443,5560871,4159855,46162100,0,0,Size?
2447,590016,4159855,33437004,0,0,@sheenarashidk sis kena pm sy..sbb kt cni sy xdpt send gmbr la sis
2451,8610616,4159855,30264546,0,0,How to used it...receive already..but cannot on it...
2456,14593142,4159855,30263708,-1,1,1 from the piston pump he wanted to get out of his rubber ...
2470,8434039,4159855,29733732,1,5,. very nice.. 
2471,5290088,4159855,30064571,0,0,dont buy
2478,8290896,4159855,36263664,0,0,Hold old brp?
2482,7699366,4159855,30064845,0,0,Yaaa . Also same with me. Even im using the new battery for it. Also cannot to play
2488,3684996,4159855,41641932,0,0,Hello..sy want to buy mcm mn ye ??
2499,10568448,4159855,38056982,1,4,Item is in a very good condition. I've tested it under water and there is no problem with it. Recommended tho!
2500,4161139,4159855,30982870,0,0,"@shachaa
sorry,could you please speak English or Chinese?any question,pls contract us by chatting"
2501,3932221,4159855,30064571,0,2,Scroll not working
2509,9985846,4159855,31291550,0,0,"1set ke, ready stock or pre-order?"
2511,5712035,4159855,90400554,-1,1,"Very poor product quality

This item is bad .. I got a broken remort unnecessary .. very dissatisfied

These undesirable .. I got a remort damaged can not use the ... very dissatisfied"
2513,5324069,4159855,34430095,0,0,can not charge?
2521,23005394,4159855,29733726,1,5,"The items are good, but the delivery is too slow"
2531,6369646,4159855,30974427,0,0,Okay
2533,7679568,4159855,51742179,1,5,"Worth the price, quality quite good"
2545,5797452,4159855,30996060,0,0,"does it filter the air, even though it got a small hole for the nlse ?"
2547,2304779,4159855,33437006,-1,1,Bad service
2549,350950,4159855,30064027,1,5,Great product!
2556,17494374,4159855,34464101,1,4,Cheap and good
2564,9821959,4159855,47513068,0,0,ready stock ?
2570,6932643,4159855,32062163,0,0,available?
2572,8161076,4159855,34464065,0,0,Include camera?
2589,3875750,4159855,30045917,1,5,good seller.. recommend to all..thanks 
2594,23876105,4159855,232320257,0,3,Product quality is ok 
2602,11848474,4159855,33437006,1,4,Good service by seller
2610,3789558,4159855,44923816,1,5,"Bought for a friend's , it good for the price"
2626,3968797,4159855,46161964,0,0,@husnaasyakirah Hi ! Too different? Can you send me the picture of yours to me?
2633,14610085,4159855,30996060,0,0,Pm yg no
2642,7102659,4159855,34463963,0,0,"@lilisayuniibrahim hi, you wear size s / m eh? Waiting u what size ye?"
2647,3651637,4159855,197880689,0,3,"Usable, but rusty and does not glow in dark."
2658,7350329,4159855,67427303,0,0,"hi...if i  want buy this,when can get the item？need how many days?im from malaysia klang"
2659,7396931,4159855,34049834,0,0,There is ta ok ...
2664,7566942,4159855,30065424,0,0,hello
2672,7901543,4159855,46161964,0,0,@aechaziz different in terms of mcm where eh?
2673,20226380,4159855,34464096,1,5,Excellent service by seller
2677,5489517,4159855,30969138,0,0,Yes @nadia94444 ... I only use Eveready batteries to operate. Very nice
2680,7752646,4159855,29733757,0,0,Still available??
2681,6856840,4159855,34049834,0,0,@cressima may bg cth gmbr x?
2683,17402798,4159855,36014569,0,3,Product quality is ok
2685,16018382,4159855,36014578,1,5,received on good conditions...tq
2689,7394252,4159855,33475352,0,0,Still available.?
2699,22688370,4159855,55901889,0,2,Delivery time below expectation
2705,16119015,4159855,49193547,1,5,So cute. Love it so much.
2706,7582008,4159855,47517604,0,0,Yup kt tngah2..ok ja @syzashasha
2709,5515961,4159855,44237123,0,0,Big to kii ni?
2711,6806223,4159855,29733721,1,5,Trusted seller
2713,8265115,4159855,37519688,0,0,Hi there! Just wondering is the set original? Does it come with a warranty? Thanks! Syaer
2721,7586340,4159855,38333396,1,5,Excellent service by seller
2726,4255594,4159855,37519688,0,0,Any phone can connect boss. I have lenovo a7000 plus.
2729,8377541,4159855,30063598,1,5,It takes a long time to do the delivery
2730,3194449,4159855,29731514,0,3,DIY Platnetarium is not easy. They shud assemble n give us (send) for the electrical part. And its very light in weight. Fast fan wind can easily blow it to fall. The bulp brightness is also very low. So im rating in just 3 star..thanks
2731,8368149,4159855,30996060,0,0,Hi..still have stock?
2734,24250521,4159855,44882429,1,5,"One month I can receive,"
2736,5443895,4159855,32062154,0,0,Ada lg x ni ..
2741,7652097,4159855,33770421,0,0,Price
2744,26680934,4159855,30044213,1,4,"very cheap .. may, make ada2 .. smelly plastic, xelastic very .."
2751,7553542,4159855,44879655,0,0,@dilauyob okay to earphone ni? Quickly damaged?
2764,8259355,4159855,41648423,1,5,very good seller...
2765,7420254,4159855,44881223,0,0,@ lailaumairah09 No ☺
2766,2116208,4159855,36014590,0,0,Prices are pa
2767,7124666,4159855,31291503,0,0,is there anymore?
2771,13751829,4159855,44882429,0,0,Ready stock
2778,4491937,4159855,57272098,0,0,Hi
2788,6367590,4159855,30023411,1,5,One word to describe? CUTE. Thanks seller
2796,10716244,4159855,34463963,0,0,Lg x ??
2800,3608383,4159855,29733727,0,0,@athirahk microphone function not ya?
2805,12864557,4159855,96565941,1,5,Product came in good and seller was kind and patient. :) Worth the money.
2816,1520827,4159855,54673761,0,3,Product quality is ok
2817,12447666,4159855,31291550,0,0,"@ alysya94 dear, mcm mana u tiup belon ni ye? ☺️"
2823,11685549,4159855,111390877,0,3,Product quality is ok
2824,18915605,4159855,125081035,0,0,"Sorry,what do u means brown 1 and brown 2?thanks"
2825,33389246,4159855,374159821,-1,1,A little problem with the goods
3180,5191691,4159855,29733765,-1,1,"Very poor product quality.
Products received broken and cannot change."
3192,1595085,4159855,30047865,1,5,"middle button are bit hard to click 
nice"
3326,5356889,4159855,33475415,1,5,"what it's really cute..
and cheap before i buy..
it's only rm 2.20.."
3346,8598846,4159855,33475384,0,0,Ready stock?
3348,8810652,4159855,44882635,1,5,Colour not same..
3350,9018142,4159855,30063327,0,0,Not so white. Just like nightbreaker.
3370,7370744,4159855,34049834,0,0,"@ aszfadz.6258 nk tnya .. there bli ka ??
Ok to / ??"
3371,9668371,4159855,34049834,0,0,Nice i like it pm
3373,27442423,4159855,36014559,0,0,Read where to pay
3405,17820008,4159855,34464018,0,3,"Buy 3, only 2 are elegant"
3410,11016111,4159855,46057057,0,0,Ade stock lg ker?
3415,9577304,4159855,46063841,0,0,RM 87 for a pair.?
3420,3651063,4159855,33770546,1,5,Nice product and the price is cheap.
3424,11871500,4159855,47517962,0,0,Can you tell me about 5 minutes of work?
3429,6367590,4159855,49691216,0,0,It means it can connect to phones right? Is it suitable for iphone?
3447,6496090,4159855,30995977,1,5,awesome item
3454,11048565,4159855,55901746,0,0,prrimo
3471,7444976,4159855,34464096,0,0,Can this product support android?
3493,3740746,4159855,34049834,1,4,Not user friendly button design.. quality of video poor a bit.. but luckily it very cheap compare to others
3497,8423003,4159855,44882158,0,0,Is there any lg stock to?
3507,350950,4159855,30065859,1,5,Great product!
3510,6183144,4159855,47516113,0,0,Up to cpt x? To dr oversea ni?
3519,6436428,4159855,31291503,0,0,still available ?
3520,9732720,4159855,58727144,0,0,What's the price of this brash? Brush shipping costs?
3522,15690763,4159855,244967481,-1,1,Very poor product quality Delivery time below expectation Very poor service by seller. Order lain dpt lain.
3525,15111204,4159855,253583475,1,5,Nice crazy. Worth it !! It's cheap to buy cheap.
3526,7065096,4159855,33475431,1,4,2 can use but 1 just white screen
3531,7333106,4159855,46536509,0,0,Good service..
3535,7900102,4159855,46537709,0,0,how to order?
3539,7611073,4159855,31291550,0,0,Estimated delivery 2 oct 2016?? Can't before 26 September 2016 delivery?
3544,4505745,4159855,67426791,1,5,good product
3552,5745574,4159855,33437214,1,5,Beautiful colors and it's functional and long...
3560,8586929,4159855,41650750,0,0,Code sent bole boss?
3568,10641039,4159855,44882429,0,0,The singles?
3571,33076632,4159855,30012169,1,5,Excellent service by seller
3581,11130525,4159855,49185740,1,5,"The stuff from the outside is a long wait, but until .."
3589,5551984,4159855,30045567,0,0,Hello blh pm personal at d 0128321226 ..
3598,8423154,4159855,34463972,1,5,Good item
3604,18757571,4159855,127314851,-1,1,"Does not properly fit my iphone7, poor quality"
3611,6631251,4159855,30065329,0,0,I bought it. no.ws?
3623,5168330,4159855,30016359,0,0,How Long I will get thing if I'm in JB ??
3627,3457806,4159855,46062687,1,5,Receive product in good condition. Excellent service by seller
3628,5925451,4159855,34049834,0,0,@kyoeasy86
3631,6322563,4159855,44899070,0,0,Ready stock?
3634,9567895,4159855,49188522,0,0,Can u share the picture bag?
3638,12832002,4159855,30065859,0,0,@noorhisyam salam bro want to ask how long do we wait yer?
3639,8670521,4159855,33132081,0,0,Cod xde place ...
3653,18221588,4159855,95329840,0,3,Physical not same with display picture. No zipe inside the bag compare with posting picture :)
3672,2560063,4159855,30063598,1,5,Good use is not easy to break the quality is great
3691,8428649,4159855,34049834,0,0,Sye buy tp kat mne tpt tu
3721,8326954,4159855,30064571,1,5,Mouse work well in long distance from my laptop. Function also test well. Good product.
3739,1458455,4159855,30996001,0,0,any brand can use for this set !
3758,19558289,4159855,36263666,0,3,Product quality is not as expected. 
3759,14489034,4159855,30064027,0,0,"I haven't receive my gloves,its already 11 days."
3772,17334007,4159855,33437004,1,5,good quality of money
3780,2897945,4159855,30043908,1,5,Excellent service by seller
3785,21193202,4159855,36263666,0,0,It's written 6 ~ 8 minutes and it's time to air it anyway?
3793,437754,4159855,67430894,0,0,Do u have for iphone 6 plus?
3801,6692590,4159855,59108095,0,3,Service by seller is ok But I order a diff one but got a diff one 
3815,5633352,4159855,33114152,1,5,arrived in good condition
3834,7277379,4159855,36263633,0,0,There's no way
3835,8305717,4159855,33114205,1,5,GOOD CONDITION
3839,17919981,4159855,44902488,0,0,Is this fit to isuzu d'max keluaran 2012?
3844,2518550,4159855,33770420,0,0,"@gtyxxxx how is the product, can function well? May pm me in wechat SandyChan0130"
3847,14598915,4159855,74684078,-1,1,The stuff is not the same as in the picture .. Auntie .. Advertising in a big pic ... Very poor product quality
3858,8212184,4159855,36014648,1,5,Good quality 
3865,6245859,4159855,31291503,0,0,Still available?
3867,12215171,4159855,46537864,0,0,I already make the order but i never state the bag shape . .
3902,9224612,4159855,44902488,0,0,Want to buy gourmet
3913,2560063,4159855,29731514,1,5,"Not bad but the bulb is not bright enough
Not so beautiful in the picture ... a bit disappointed"
3929,6348407,4159855,29733736,1,4,Fast shipping and the headlight really small n compact...
3931,9210045,4159855,44902488,0,0,Is is support bluetooth?coz i dont see bluetooth in product description?
3934,5867709,4159855,60808578,0,0,Hi beg coffee ad stock x??
3942,9469701,4159855,30064027,1,5,Still not getting stuff ordered
3952,5336434,4159855,30024435,0,0,How to choose the design?
3955,9830420,4159855,55893789,0,0,is this still available?
3956,684804,4159855,42626394,0,0,"Hello, this watch all color still available?"
3966,4288631,4159855,37519552,1,5,Good seller very responsible
3972,5818495,4159855,30263708,1,5,"Seller - good
Quality product - good
Delivery time-fast
Remark-trusted and helpful seller,recommended for who need mask for safety.thanks seller."
3973,8086995,4159855,34049870,1,4,"good seller and product...the only downside is the product delivered not in retail box/packaging..its a little problem for those who want to resell them..

overall, good item,nice service ,im a very satisfied customer <3"
4007,8961152,4159855,46057932,1,5,Receive in good condition.... Fast respon..fast delivery.... Thanx for ur very  good service..
4019,23089625,4159855,34658446,1,5,GOOD RECEIVED
4025,3453945,4159855,50667288,1,5,Postage is pricey to EM. Anyhow friendly with nice product. I love my owl :)))
4031,350950,4159855,35548556,1,5,Great product!
4032,12385446,4159855,38056931,0,0,How much do you postage
4034,9630519,4159855,41771603,0,0,Am to 0179228991
4035,5694709,4159855,44233944,0,0,how to buy it?
4041,7652097,4159855,33475415,0,0,Pm
4045,7582008,4159855,47517604,1,5,For the second time oder..tq
4049,5959480,4159855,30022550,0,0,Still available?
4054,6319820,4159855,50237362,0,0,Ready stok kah???
4060,3945490,4159855,37519521,0,0,Support ios apps?
4071,590016,4159855,33437004,0,0,@sheenarashidk lawa sis ... ada 2 mode..blh kelip2 mcm lmpu raya & lusin menyala .. bunga dya xkecik sgt..dlm ukuran 3jari dewasa..tp xterlalu besar la ..
4074,8278879,4159855,34049834,0,0,Warranty how long?
4087,23089579,4159855,323327002,1,5,Excellent service by seller
4093,5489517,4159855,30969138,1,5,Dah up but not test lg ... That's definitely a quick sgt delivery of the promised ... I like
4099,8024114,4159855,38334277,0,0,this have stock？
4100,1595085,4159855,30063759,1,5,Will purchase again 5pcs
4123,5721449,4159855,43349885,0,0,How long to receive this
4139,10571905,4159855,33770546,0,0,Do not have battery
4141,5745574,4159855,33437214,0,0,How many days are needed to arrive? Cuz need it urgent
4154,9256574,4159855,33475492,1,5,Highly recommended
4166,5834571,4159855,30050199,0,0,Iphone 6s have x
4172,872089,4159855,30261380,0,3,Sound quality not very good 
4178,10110767,4159855,34049834,0,0,What country are you shipping?
4185,8658183,4159855,34049834,1,4,"Received it fast and prompt. Only the packaging a little bit out-shaped. Overall, a trusted seller."
4186,6344707,4159855,47513630,0,0,Mcm nk or
4192,8595688,4159855,43805812,0,0,did u have stock blue colour?
4213,12454655,4159855,46057609,0,0,Ready stock
4223,8265115,4159855,37519688,0,0,Hi cybercool! Can i ask syma x5hw ni set ori ??? There is warranty x? Thanks
4225,7556572,4159855,29733418,1,4,"This is OK. Sometimes, the digit in screen just not shown properly."
4256,8081684,4159855,34049834,0,0,"Sgt2 keenat ....
How can I make a payment, bank can?"
4263,6329156,4159855,30261380,0,0,Hv tax invoice ?
4274,8424228,4159855,34049834,0,0,Ok
4275,6266261,4159855,36657618,0,0,Is it mix color or 1 color per 100 piece?
4281,12560189,4159855,29733726,1,5,Best..but you're welcome
4299,3638343,4159855,32149776,1,5,Get the veil with comb. Easier to wear. This one doesn't come with it. The seller has stated it.
4310,5290088,4159855,30995952,0,0,take a not
4311,7488667,4159855,34049834,0,0,Still available
4322,8086995,4159855,29733738,1,5,item as per described..good seller
4325,6647124,4159855,47519982,0,0,@chiusing same as in no picture?
4333,15727285,4159855,30047994,-1,1,Not recommended...I have not received this item... Very poor service by seller
4337,4161139,4159855,30050199,0,0,"@adria768 hi,it is fit to iphone 5/5s"
4341,8766817,4159855,33475431,0,0,Does it comes with a box ?
4351,7665515,4159855,33475415,0,0,Is it free to send it here?
4353,8670009,4159855,33770421,0,0,Sell ​​skali gn earfone to?
4361,8981911,4159855,38056931,0,0,Look like?
4367,9050535,4159855,34049834,0,0,@nurain.sharip i see.. Thanks for the info..
4382,5156225,4159855,57272098,0,0,"hi. can exchange if more than 5 LEDs not working?
If i order today, can u deliver by 28th Sept?"
4383,10329762,4159855,35548551,0,0,Stock available?
4384,5520165,4159855,33475415,0,0,easily broken? include charger?
4397,10729744,4159855,41645868,1,5,Good service.. Item safely arrived after 1 week.. 
4413,12752071,4159855,38056931,0,0,Pm
4415,17899725,4159855,43806165,1,5,What colour when Fully change?
4418,21227149,4159855,46536690,0,3,Product quality is ok
4424,11285663,4159855,44881223,0,0,"@rzaida hi, can the headphone cover whole ear?
Sound quality also good?
Thanks!"
4429,8060630,4159855,34049834,0,0,Confirm 170• angle ?? my fren only 110 angle
4442,9719397,4159855,58724520,0,0,"Hello , blue white purple sold out ?"
4446,172471,4159855,31291538,0,0,This is for ape ya? Can explain
4450,11382000,4159855,30046605,1,5,Excellent service by seller
4458,2838667,4159855,50236164,1,5,Size is not the same as given
4464,9054118,4159855,44884047,0,3,Product quality is ok
4504,9377295,4159855,30995952,0,0,Inclusive postage?
4506,6319832,4159855,43352009,0,0,price 980 ni for 1pieces to?
4519,2923607,4159855,30974425,1,5,Item received in a very good condition. Thanks!
4527,11474271,4159855,34464031,1,5,"Receive in good conditions..good seller,fast delivery."
4528,10816253,4159855,32062135,0,0,curtain nie ... about a piece of rm14 or 2 pieces 14
4535,3668275,4159855,33770546,0,0,Does it come with earphones and usb charging cable?
4558,8666546,4159855,43449796,-1,1,Very poor service by seller
4560,10224970,4159855,30261101,1,4,"Wait a bit long for delivery , item came in good condition, better if sent in a box rather than just a plastic courier bag"
4562,3914038,4159855,34049834,0,3,2.4-inch screen! Not 2.7 inches.
4567,7488598,4159855,34463963,0,0,Hi is this still available?
4570,7582008,4159855,47517604,1,5,Fast n good quality
4571,18031319,4159855,34463981,1,5,"Excellent service by seller, delivery with expected time, product tried, working in good condition"
4587,3463738,4159855,227005370,0,3,Size was slightly bigger than what i measured according to the measurement given. Should have taken smaller size. Material is average.
