,shopid,itemid,rating_star,cmt
1802,4149345,16429253,4,Good.
1804,4149345,95550022,2, Poor product quality
1807,4149345,54623609,4,"Received in good condition, yet to use it. "
1810,4937640,18982022,2,this is a pencil eyeliner. its way too creamy and thick to use on your brows
1813,4149345,14486824,3,"I didn't receive this usb, can it work without it?"
1814,4149345,14481902,4,"Definitely a great buy!! :) items were well wrapped in boxes and layers of foam, everything arrived in good working  condition :) the only drawback was that these took 2 weeks to be delivered. 
Makeup sponge is smaller than expected though! But for the amount I think it's okay. "
1817,4149345,15247463,4,Not long enough to cover double brushes..
1819,4937640,26495782,5,"Like the neck pillow, I'll order one for each family member. The others are not bad too. "
1822,4149345,14482314,5,It came way to fast then expected. I really love the items.Thank you so damn much. Hope to deal with you more in the future. ❤
1826,4937640,18983118,5,really good colours and pigmentation!! my new favourite brow kit!!!
1827,4149345,15250953,5,Received item as described
1830,4149345,24118966,0,Is the item shipped locally?
1834,4149345,15737299,5,"Definitely a great buy!! :) items were well wrapped in boxes and layers of foam, everything arrived in good working  condition :) the only drawback was that these took 2 weeks to be delivered. "
1838,4937640,17703287,1,Palette was quite badly damaged upon receiving. :( 
1840,4149345,16431852,5,"Definitely a great buy!! :) items were well wrapped in boxes and layers of foam, everything arrived in good working  condition :) the only drawback was that these took 2 weeks to be delivered. "
1844,4149345,15719000,5,Received item as described
1848,4937640,24088202,3,its really thin but not bad. 
1849,4937640,19376409,1,Received damaged product!..how on earth can part of the brush b snipped off n yet b QC passed n shipped out??!!😡n wanted me to accept it 😤?!...no way lo even for a mere 20 cents! 
1851,4149345,16741636,5,Cheap! Looks exactly like the photo. Have not tried using it yet. 
1852,4149345,186183377,4,"Definitely a great buy!! :) items were well wrapped in boxes and layers of foam, everything arrived in good working  condition :) the only drawback was that these took 2 weeks to be delivered. 
Makeup sponge is smaller than expected though! But for the price I think it's okay."
1854,4937640,22564123,5, Excellent service by seller
1855,4937640,24095270,1,leaked my perfume and it wont fill up again after it started leaking
1856,4149345,237463508,0,hi still available?
1858,4149345,19336404,1,Tiny
1861,4149345,15737299,5,Received item as described
1863,4937640,24088131,5, Excellent service by seller
1869,4149345,16431852,4,"Item is as posted. However, the manual/guide that comes with it could be better. Wasn't really clear on how to use and clean the product."
1870,4937640,24095331,3,"its soft and applies my foundation well, but its so small. didnt expect the size to be this tiny (compared to the original beauty blender)"
1871,4149345,14481902,4,"It came faster thn expected. Tho the item is smaller than in pictue, its worth $0.50"
1872,4937640,44467104,1," Very poor product quality Very poor product quality Very poor delivery speed Very poor service by seller

The products were made in china & seller is out to cheat people. Please beware & read carefully before purchasing this. I got cheated & seller is extremely dishonest. No sense of remorse. "
1873,4149345,66185065,0,"@sinwillie  dear, you can contact with me in chats ,we will tell you how to choose the color"
1874,4149345,29995074,1,The sticker is all crumbled when arrived! Can I refund?!!
1876,4149345,237463508,5, Excellent service by seller
1877,4149345,16431050,5, Excellent service by seller
1880,4937640,85958022,5, Excellent service by seller
1881,4937640,18984937,5,Water proof. Smudge proof. Not as sharp but value for money.
1883,4149345,42089916,4,"Colors change automatically, would be better if you can keep it in one color if preferred. Manual also not good. "
1885,4937640,18980338,5,"Products were affordable and of great quality! They were safely sealed with bubble wrap to allow no room of movement, hence ensuring that products are in best shape when delivered to you. There was 1 product missing but it's okay :)"
1886,4937640,273164985,5,"Super nice, can't wait to use it for my overseas trip this year !! I love it 😍 "
1893,4149345,54623609,5, Good value for money.
1896,4937640,24095270,5,Colour so prettyyyy😻 deliveryyyy was just nice 👍🏼 good condition👍🏼
1897,4937640,18985972,4,Not as natural as picture but very malleable. Stick on well.
1898,4149345,14486824,3, Product quality is ok.  Delivery time as expected
1901,4937640,19378368,5,Decent product!
1902,4937640,17702205,2,Wouldn't really recommend this palette because the matte shades don't have a single pigment in it. One of the colours broke and the powder went on the other colours and the whole palette including the mailing wrap.
1905,4937640,18986068,5,although everything i bought came separately & the delivery wasnt as fast as the first parcel i received. (which was 3days after i submitted my order). the product quality still came in good conditions just like what it was shown in the pictures. the seller was really kind and patient with me.
1910,4149345,70873236,5,Really great item! Not painful when peeling off & the skin feels smooth. Reviews online are not lying either. I am definitely buying again when this one finishes.
1912,4937640,18981088,5,Cheap and good quality !
1913,4937640,18985906,5,Item is as expected and exact to pic
1914,4937640,19347591,4,"Brush sheds, some strands are longer than the other. Expected due to cheap price. You get what u paid for! "
1915,4149345,14481902,3,The sponge was alot smaller than i thought.
1916,4937640,19347989,5,Good! No problems with the brush strands etc doesnt shed
1917,4149345,51268945,1,Never recieve product!
1919,4937640,46523851,5,Very natural grey/brown #4. Very long stick and glides very smoothly... spooly a bit big but i use my prev eyebrow pencil spooly so its okay.
1920,4937640,35923923,5,although everything i bought came separately & the delivery wasnt as fast as the first parcel i received. (which was 3days after i submitted my order). the product quality still came in good conditions just like what it was shown in the pictures. the seller was really kind and patient with me
1922,4937640,16812173,3, Product quality is ok
1923,4937640,19377585,5,Very handy for make up bags
1925,4937640,26495581,3,This is really really tiny. Half the size of my thumb. 
1927,4149345,13432637,3, Product quality is ok
1929,4937640,22564307,5,Brush is soft and does not shed !
1930,4149345,16427026,5,adaptor working well! 
1931,4149345,15720455,5,I have not tried it yet thou. But item received(:
1933,4149345,13432087,4,I wish it comes with a instruction on how to fix it. Other than that it was great
1934,4937640,18986068,5,Haven't used it but item received in good condition
1935,4937640,104304937,5,although everything i bought came separately & the delivery wasnt as fast as the first parcel i received. (which was 3days after i submitted my order). the product quality still came in good conditions just like what it was shown in the pictures. the seller was really kind and patient with me
1937,4937640,104304937,4,Lighter matte colours not as pigmented. But the sparkles legit reflects light very well. But recieved with splooches everywhere. Quite messy. So 4star
1938,4937640,148176643,2,"4 outta 4 brush is a lil defected, some scratches on the gold part. The quality of the brush is not smooth and a lil spilt. Beside all these, these unicorn brush look beautiful, wouldn't recommend to use it, but nice to keep it as collection.  Poor product quality"
1939,4937640,24095331,5,Mini sized and does not expand in water. But handy to carry around.
1940,4937640,26495075,1,ordered as orange but received pink blusher
1941,4149345,14482025,5,Good
1943,4149345,14482239,5,Fast and safe shipping..
1944,4149345,14485272,5,It came really fast 🙊
1945,4937640,17704457,3,colour is nice but too bad item had broje into half when recieved.
1947,4149345,15736492,1,Never received at all after almost 50 days
1948,4149345,14481902,5,Well packed and registered mail 
1949,4149345,21422279,5,good
1950,4937640,26495244,5,Excellent ! I love it ! Packaging is sturdy too.
1955,4937640,26495244,5,Good for thicker double eyelid look ! Packaging is great to as well.
1957,4937640,98141208,5,Poor product quality 
1959,4149345,15736033,1,ITEM NOT RECEIVE 
1962,4937640,40486732,5,Love it ! Fits almost all my lipsticks !
1967,4149345,21420063,5, Excellent service by seller
1968,4937640,24088086,5,Please be advise for this items! I havent received yet !
1969,4937640,35279637,3,The switch looks old and flimsy 
1970,4149345,15251326,0,Any packaging ?
1973,4937640,44467145,2,Product has strong plastic smell. Unpleasant and nauseous especially because it's to be placed in the nose.
1978,4149345,26966964,0,請問我的貨几時会到。
1981,4149345,13426987,5, Excellent service by seller
1982,4937640,90548692,4,"Good product, slightly troublesome to use as cutting of the ends is required."
1984,4937640,21273292,1,I receive dis product but i nvr open at all i see the cup i know i cannot fit for my bust so sad i hope i can change to big cup size..dis size look like for small kid..
1985,4937640,17702277,5, Excellent service by seller
1986,4937640,18981664,5,Received item with 1 week. Helping a friend to buy and didn't receive any complaint so I guess it's working fine. 
1987,4149345,15247463,5,"The brush guards are quite long, so for shorter bristled brushes, you could actually save some by cutting them into half! The quality's pretty good too!"
1988,4149345,17708349,5,Really good buy for this price. Keeps my shades away from hurt 
1989,4149345,15249438,5,"These synthetic brushes are super soft! Didn't shed when i first washed it, the brushes are slightly heavier though. As the handles are made out of wood"
1991,4149345,60228489,2,The feathers are not really good quality
1992,4149345,14485272,5, Excellent service by seller
1994,4149345,13431647,1,The cutter destroyed my sim card since the hole is not aligned with the chip and there is no way to move the sim a bit to avoid the damage. Definitely NOT RECOMMENDED im afraid
1996,4149345,116570569,5, Excellent service by seller
1997,4149345,16427945,5,Fast shipping and prompt. Order received in good condition.
1998,4937640,323892755,5,M is the perfect size for cup B to C.
1999,4937640,104771400,2, Poor product quality
2000,4937640,46524220,0,Ingredients of product?
2003,4149345,15735536,5,"These synthetic brushes are super soft! Didn't shed when i first washed it, the brushes are slightly heavier though. As the handles are made out of wood "
2005,4149345,84846320,0,Black
2006,4937640,19346757,5,"extremely soft!!! incredible quality omg. quite big tho, but it applies highlight onto cheekbones very well! has a few hairs longer than the rest as seen on the photo, but it doesnt affect how it applies. "
2007,4937640,19376409,3,"mine was very wonky (see photo) but it gets the job done. abit prickly, kinda hurts on the face tho. "
2008,4149345,49796475,3, Product quality is ok Delivery time as expected Delivery time as expected
2009,4149345,49790653,5,"Product well received, quality is good however it's a bit tight for me
 Excellent service by seller"
2010,4149345,15720360,5, Excellent service by seller
2011,4149345,15250953,5,"- Simple yet effective
- Cheap as I bought it during the time sale"
2013,4149345,16431613,5, Excellent service by seller
2015,4149345,14481902,4,"Delivery take abit long as I waited 3 weeks to receive my items, price is affordable and delivered to doorstep, quality looks good and hope it works well"
2016,4937640,26495143,5,amaaazing quality for the price!! looks so pretty on my shelf. recommended!! 
2018,4149345,172393253,5, Excellent service by seller
2019,4149345,15250953,4,"Delivery take abit long as I waited 3 weeks to receive my items, price is affordable and delivered to doorstep, quality looks good and hope it works well"
2020,4149345,15736397,1, Very poor product quality Very poor delivery speed
2021,4937640,40486732,5,"mine was cracked when i got it!!! acrylic is scratchy (not as clear and transparent as the ones you see from Muji), but it does its job well. for 70 cents why not LOL"
2024,4937640,17703698,4,The delivery is fast... love the colours.. 
2028,4937640,43305088,5,"useful for me, i use it to sanitise my phone every night. box was abit beaten up when i received it. "
2029,4937640,46524204,5,"these are so much cheaper than Veet/Nair or any other brands!!!! theyre usually $9-$15 outside but these are only $1 whuuuuttt. does its job incredibly well too, gonna repurchase a lot more after this. "
2030,4937640,18983118,5,Not bad eyebrow powder 
2032,4149345,16430420,5,Great 
2034,4149345,15737299,4,"Delivery take abit long as I waited 3 weeks to receive my items, price is affordable and delivered to doorstep, quality looks good and hope it works well"
2041,4149345,49790609,4,Good for the price but material is quite thin
2042,4937640,72487082,5,good!!
2043,4149345,80272992,5,"S$5 for 2 pcs. I cannot believe it is true. 
Quality is more than I excepted. Recomended this seller. Will buy again for sure. "
2044,4149345,14486824,3,"Item took slightly over 3 weeks to arrive. It has a very light, plasticky feel that is expected for the price. But at this price, there are also other wireless optical mouse available on Shopee that can arrive faster."
2046,4937640,19376913,5, Excellent service by seller
2048,4937640,206978834,5,"not original heme baby q, because its a lot thinner and less squishy, but other fakes are going at >$5 and the original is $10. this does the job just as well!! "
2056,4937640,24095270,0,"@emilylovered Thank you, my dear, welcome shopping here again~"
2061,4937640,264229140,5,"incredible quality, love it! so cheap too. and it has a nice weight on it, doesnt feel cheap. very soft too! the stippling brush is abit streaky to apply foundation, but good for applying liquid blush! "
2062,4937640,18984937,1,Did not receive the product
2072,4149345,19313372,5,Nice. Tried it n it works. 
2076,4937640,24095331,5,Rather slow delivery but cute product and came with a free makeup bag. I bought 6 sponges. Have not used them yet so can't say how good they are. Feels like good quality. 
2081,4937640,44564390,0,"Hi, may I know how many mm is this?"
2083,4937640,26495747,3, Product quality is ok
2084,4149345,16431050,4,The ergonomic of the right button made it very tiring if the presentation is very long.
2086,4149345,46508797,5,Item was delivered earlier than expected which is great! Item works well too :)
2087,4937640,18985848,5,Great
2088,4149345,197756954,5,Ok
2089,4149345,26966394,5,Good and useful item
2090,4149345,13433484,5,"Very sturdy item, as described :)"
2096,4149345,16442279,0,Cool but abit sharp need to guide the children
2097,4937640,125555905,5,Great
2098,4149345,15736397,5,"Great, Perfect, Excellent"
2099,4149345,14481739,3, Product quality is ok
2100,4149345,13433787,5,"Fast ! Made payment on 11.05.16, received orders on 17.05.16. Items are packed well and are in good condition. Cheap stuffs, recommended shop ! "
2105,4937640,104771680,5,Very Long delivery
2108,4149345,14476821,5,"Fast ! Made payment on 11.05.16, received orders on 17.05.16. Items are packed well and are in good condition. Cheap stuffs, recommended shop ! "
2111,4149345,16430420,5,Love being organized so this comes in handy for my earphones and cable! 
2115,4149345,16426604,1,"Worse service!  
Firstly lost my mail in warehouse! 
2ndly Courier mail still dare to call to vertify address and lastly still slow delivery over! Took more than 1.5month! 
Shoppe guarantee is fake!!"
2120,4937640,98732422,1,I bought 2 sets so I'm suppose to have a total of 6 pcs. Only 2 pcs came!!! 
2121,4149345,15720215,5,"Doesnt seem to cut anything. But just a dollar, it was kinda expected "
2122,4937640,115574611,3, Product quality is ok Delivery time as expected
2124,4149345,60228570,5,Haven't tried it yet but fast delivery! 
2128,4149345,26966420,0,False advertising! That's no T5 screw head in this set!!
2131,4149345,13432588,5,Very comfortable and is felt material :)Large and warm~
2132,4149345,14479925,5,"Fast ! Made payment on 11.05.16, received orders on 17.05.16. Items are packed well however received 1 palette with a crack but its okay. Cheap stuffs, recommended shop ! "
2136,4937640,36621555,5,Delivery was fast and the brushes are super soft 👍🏼
2137,4149345,81547054,5,Fully practical item - but not aesthetically pleasing. Just happy that I don't have to hold my ezlink in my other hand now!
2140,4149345,15247463,5,"Fast ! Made payment on 11.05.16, received orders on 17.05.16. Items are packed well and are in good condition. Cheap stuffs, recommended shop ! "
2141,4937640,95773068,2," Poor Item Quality  

Not very effective compare to normal one. More like just brushing..."
2143,4149345,15250953,5,"Fast ! Made payment on 11.05.16, received orders on 17.05.16. Items are packed well and are in good condition. Cheap stuffs, recommended shop ! "
2147,4149345,104063620,5,Haven't tried but fast delivery! 
2153,4149345,13423875,5,"Good
Fast mailer
"
2154,4149345,104305749,5,Haven't tried but good delivery! 
2157,4937640,18982883,3,Instruction was not clear. Very hard to remove aluminium case to place battery in. 
2162,4937640,115574611,3, Product quality is ok
2164,4149345,14484707,1,"Came in bad condition, dirty"
2165,4149345,13422342,0,Only I buy 3only
2167,4149345,225453078,5, Excellent service by seller. 
2168,4149345,43856850,5,faster than expected thanks!
2169,4149345,13419870,5,Friendly understanding seller 👍
2171,4149345,16430639,5,Items received very well.  To bad no photo.  But definnatly will order again
2172,4149345,66180126,0,"Wanted to change my rating to 5 star but not able to. Although Color does not match my expectation. Seller did indicate in comment section. The product is great. Shaved cleaning, no irritation aft."
2173,4149345,46575253,0,Hi can this seal any kind of food plastic bag including ziplock bag material?
2174,4937640,18985848,1,Seller wasn't helpful and responsive with regards to the order.
2175,4149345,237463843,5,Useful for socks! 
2177,4149345,19335650,1,"The light didn't work despite constantly charging it for a few days :(
No response from seller for an exchange "
2178,4937640,16803914,5,Perfect packaging. Products looks good.
2179,4149345,42463218,5,Ok thank. Tan not yet test
2180,4149345,16443152,5,Friendly understanding seller...wl deal w her again
2181,4149345,225453078,5, Excellent service by seller In addressing my issue. Resolved it for me in minutes! Excellent service!
2183,4937640,22563813,5,Great seller tqvm
2184,4937640,106020336,3,There are 2 tears on one side of the bag :(
2185,4937640,18985848,3, Product quality is ok Delivery time as expected
2186,4937640,120005596,2,"Delivery time is ok but product quality is 6/10 ? 
One of it the hair keep coming off even if I just gentally swipe it. 
It's not a few piece of brush hair it's like chunks of it, so this particular brush can't be used at all. 
Very heavy smell have to air it. "
2187,4937640,22564319,4,"product took 7 days to arrive after payment was made.


brushes were individually packed and are very soft.
slightlt different as pictured. :-("
2190,4149345,14481902,5,Item received!
2191,4149345,15736347,5,"Fast ! Made payment on 11.05.16, received orders on 17.05.16. Items are packed well and are in good condition. Cheap stuffs, recommended shop ! "
2193,4149345,16442758,5,👍👍👍
2195,4149345,14477372,5,Smaller than expected but still good. Wasn't sure if I should wash before using because the sides were like powdery.
2197,4937640,17702243,5,Perfect packaging. Products looks good.
2201,4937640,24095277,4,"product took 7 days to arrive after payment was made.

brushes were individually packed and are very soft.
slightlt different as pictured. :-("
2202,4937640,22563853,5,Great seller tqvm
2206,4937640,112156358,0,Hi gud eve.can i ask if all ur product can buy through cash on delivery or u do meet ups or what. Thank you!
2207,4937640,24095331,3,"SUPER SMALL OMG. 
weird smell thou.
item came in zip lock lol

product took 7 days to arrive after payment was made.

"
2208,4149345,19313391,5,Mirror was not really good
2211,4937640,18986068,5,Perfect packaging. Products looks good.
2214,4149345,14486670,5,Good for blusher 
2219,4149345,16750888,0,Good quality
2220,4937640,44564390,1,PLUG CANNOT USE AT ALL
2223,4937640,18984937,5, Excellent service by seller
2224,4149345,21420082,5,👍
2226,4937640,18985848,3, Product quality is ok
2227,4937640,26495581,3,"SUPER SMALL OMG. 
weird smell thou
item came in zip lock

product took 7 days to arrive after payment was made.
"
2229,4149345,57850076,3," Delivery time as expected, quilt is much flatter than in pictures, clasp does not work well"
2231,4149345,13432637,2,Item is pretty flimsy 
2234,4937640,75436880,5,"smaller than expected !!!!!
Palm size.:-)
 product took 7 days to arrive after payment was made."
2235,4149345,21422133,5,👍
2236,4149345,51485271,5,Very satisfied. Sturdy weighting scale and got free batt too.
2237,4937640,18984937,5,Thx
2241,4149345,15736033,5,Item received! Thanx alot will order with u again!
2243,4937640,44467422,1, Very poor product quality. Shows the line when worn.
2244,4149345,16431739,5,Going to use
2245,4937640,90548692,5,"3 sheets came.:-) 

 product took 7 days to arrive after payment was made."
2249,4149345,14476821,3,Tho the order came in very late and was even pass the shopee guantee time but i wa please with the product home the delivery is on time next time
2252,4149345,16427399,5,Cheap and nice
2256,4149345,13423994,5,Goooooddddddddd 
2258,4937640,134875805,5,The brushes are soft and super pretty! 
2259,4149345,70872615,4,"Quite disappointed how I paid for the most expensive shipping yet the time it took to reach me was so Long. However, guard received in good condition And all."
2260,4149345,57202036,5,Received item but some part of bra got deformed 
2262,4149345,46509042,3,Its the sticker type with net print. Not the net type. Quite disappointed with the product. Good service by seller and fast respond. 
2265,4149345,14486874,5,2nd purchase from seller. Excellent service.
2266,4149345,13423994,5,Gooooodddddddddd
2267,4149345,14482025,5,Good product 👍
2270,4937640,24088103,5,Excellent service by seller
2271,4149345,13419870,5,Seller Good reponsive n accommodating 👍👍👍will cont'd to buy frm her
2281,4149345,15736347,5,"Couldn't choose the color of the perfume bottle due to random shipping but I bought 2 anyway bcuz it's really affordable. Item came in less than 2 weeks time and it was delivered to my doorstep. It came in really good condition and I love the color! Just the color I wanted, gold and red :)"
2282,4937640,19376409,5, Excellent service by seller! Seller was efficient in responding to my enquiries. Thank you. 
2283,4149345,18269587,5,2nd purchase from seller. Excellent service.
2289,4149345,14482314,2,"Colour wasnt pigmented.. chalky and alot of fallouts. But for the price, it's okay. "
2294,4937640,16812086,5,Item was packed well and received in perfect condition. Thank you 
2295,4149345,17708745,5,Item came in really good condition and I love the mouse! Very light and sleek. Definitely worth the price and waiting time! 
2301,4937640,317670734,5, Excellent service by seller! Thanks for responding to my enquiries fast. 
2304,4149345,16427399,5,"Good
"
2305,4937640,22564113,5,the brushes are so smooth and are in good condition!! 
2308,4149345,13430983,5,Good value for money
2309,4149345,13427298,4,the box is busted but it's okay
2310,4149345,16742382,2,Brush is soft and nice but downside is the horrible smell of paint which is really strong.
2311,4937640,16812173,5,"Concealer is very creamy, lightweight & portable! Looking forward to use them! "
2313,4937640,46524199,5,Item was packed and received in perfect condition. Thank you 
2315,4937640,24095270,0,"@bodystore.sg I think it's not the shipment, it's the product itself. In fact all 3 cannot be used. There is 1 which I manage to input in, but the perfume vapourised after a few days. Waste of my perfume."
2317,4937640,54968210,4,"Although the shipping process took quite a while, the product was well received. It was meant to be a Xmas gift for my daddy.  Glad that he loves it alot though it came late."
2319,4149345,13432637,5,True to picture and really pretty projected on my bedroom wall!! 
2320,4937640,26495075,2, Poor product quality
2321,4149345,13432637,5,so far it's okay! 
2323,4937640,35923599,5,smaller than I thought but works very well! 
2325,4149345,34399574,0,Why so cheap
2327,4937640,22564143,5,Brushes are so soft!! Worth the price! 
2334,4149345,19335053,3,The delivery for the torchlights were a bit slow. 
2335,4149345,15736347,5,great! but cannot refill perfumes with pressured openings which is quite a bummer 
2338,4149345,26966525,1,Hooks r very sharp at edges! Very poor finishing.
2346,4149345,14479774,5,Awesome!!! 
2350,4937640,21273421,1,"Faulty product, no reply from seller"
2354,4149345,18269282,4,Worth the price 
2357,4937640,24095270,5,Leak a little every time after pumping
2360,4937640,22563855,0,Hi! Is this OEM from Nars?
2362,4149345,14480472,1,"TOTALLY SCAM, Ordered and waited more than a month, Didnt receive the product. seller gave fake tracking number. "
2365,4149345,13433352,5,Good!
2370,4937640,26495738,5,Slightly bigger than a new $1 coin
2374,4149345,15720616,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the iotem"
2378,4149345,16742186,5, Excellent delivery speed Excellent value Excellent product  quality
2380,4149345,13426634,5," Good value for money
 Excellent service by seller
"
2384,4937640,19345670,4,soft bristles but delivery took quite awhile
2386,4149345,237463843,5, Excellent delivery speed Excellent value Excellent seller service quality Excellent packaging Excellent product  quality
2387,4937640,16812173,5,great!!
2389,4149345,17708328,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the iotem"
2392,4149345,13434748,5,Not bad! received items in good condition!
2394,4149345,46508803,4,Battery does not last
2396,4937640,16812206,5,great!!!
2397,4937640,18981759,2, Poor product quality
2398,4149345,16743208,5,Item received way before expected delivery date. Cheap & good! 
2403,4149345,24119084,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the item"
2406,4149345,16427659,5,Not bad! received items in good condition!
2409,4937640,43305088,5,Fast and quick delivery. Item came in good condition and is really very cheap! Thank you!
2412,4937640,19349698,4,soft bristles but delivey took quite awhile
2413,4937640,24088098,5,👍🏻👍🏻👍🏻👍🏻
2414,4149345,42462759,1,Bluetooth is not working... totally waste of money.  Very poor delivery speed and Very poor product quality
2415,4149345,14480472,5,Thanks. 
2416,4149345,26966399,1,"Con Seller, Gave FAKE TRACKING NUMBER. Never sent the item"
2417,4937640,50056038,4,It's quite ok.
2419,4937640,127979848,0,"I would like to order #1, #4 & #11. 1pc each please."
2420,4149345,16432163,1,Have not received item and seller is still unable to give me a definite response. 
2422,4149345,39576011,0,Hi could you give a better estimate of the delivery time as 4-25 is quite a wide range?
2423,4937640,19372664,5,Good for everyday normal use. Not waxed.
2425,4149345,16742186,1,Have not received item and seller is still unable to give me a definite response. 
2426,4937640,24088098,5,4th time purchase from this seller. Thanks
2427,4149345,104216188,4,Collar is much wider than expected. 
2429,4937640,112156309,5,I havent receive the bag yet
2430,4149345,15737299,4,"Delivery took slightly long, but overall satisfied with product and price :)"
2435,4149345,26966656,5,Not bad! received items in good condition!
2437,4937640,17702687,3, Product quality is ok
2439,4149345,13433484,5,Prompt response and delivery 
2442,4149345,404269238,1,"Mailer forgot to put it in, so he refunded me quickly. :)"
2444,4149345,16442329,5,Thx seller
2448,4149345,17708280,5,Thx sell
2450,4937640,106020164,0,so is there's no coin compartment?
2452,4937640,35279645,3, Product quality is ok
2453,4937640,103148802,3,Great product but only cures only UV light and cures slower than normal.
2456,4149345,14479774,4, Good service by seller 
2458,4937640,104771942,3, Product quality is ok
2461,4937640,206979572,5,"product was very good, price was extrememly reasonable!! hope to use it for halloween!! will buy agn!! #shopeehaul"
2464,4149345,13432637,5, Excellent Item Quality Excellent Value Excellent Delivery Speed Excellent Overall Service
2466,4937640,104772116,3, Product quality is ok
2468,4937640,26495797,2,Not pigmented at all. 
2470,4149345,43856834,3, Product quality is ok
2474,4149345,14482801,5, Good value for money
2479,4937640,24095331,4,Small and better for under eyes
2481,4937640,18984937,5, AMAZING product quality and faster delivery than expected!!!  Excellent service by seller
2483,4937640,18945556,0,"Hello, is it matte? (:"
2485,4149345,17707898,5,The pens come in super cute designs! Just be mindful that some of the pens tend to be more inky than usual! Other then that it's a great purchase! 
2486,4149345,66185065,5,great seller to deal with...sent me a free gift as they accidently sent the wrong colour🤗🤗🤗
2487,4149345,42089826,1,The accuracy of the this equipment is totally unacceptable
2489,4149345,57906487,5," Excellent service by seller
Very pleased with seller's service - seller is patient n prompt in responding. Will buy from this seller again in near future. Tks..."
2491,4937640,18980338,2,Did not receive one of the item. Pls reply to my message.
2492,4149345,16749761,2, Poor delivery speed
2493,4149345,185816461,2,"Good pigment, colour different from picture, not matte at all, smells like fuel. Would not recommend "
2498,4149345,71921841,0,Hi
2505,4149345,15719640,5,It will be helpful if the product guide is included
2510,4149345,16431226,5,Item well received. Satisfied with all the prompt service. 
2511,4937640,26495113,0,@jaejaejae doe it expand when wet? And becomes soft?
2516,4149345,19342314,5,Item well received. Satisfied with the prompt service.
2518,4149345,13432637,0,Hmm im wondering do u do meet ups? Just asking
2519,4937640,18985268,5,"Excellent service by seller, Good value for money"
2522,4937640,21273294,5,Slow delivery
2524,4149345,14479774,3,Product is sharp at the edges and some little bubbles on the display stand. Otherwise all else is great:) gd product at great price! Thanks
2527,4937640,17702205,5,Beautiful colours!
2528,4149345,42089916,4,The instructions were a bit wrong and confusing but it works fine. 
2531,4149345,258380890,4,"Smells funky, a little too hard, but works alright"
2532,4149345,21419969,5,Item is definitely good 👍
2533,4937640,18985972,1, Very poor product quality
2535,4937640,104772116,5,Been using this.
2537,4937640,24088151,5,Good value for money
2538,4149345,13432519,3, Product quality is ok
2541,4937640,35923923,5,Good value for money
2545,4937640,97193745,4,Worth buying for small palette and less usage. Colors not all pigmented but have most basic colors.
2546,4937640,16812173,5,one of it broken but seller kindly refundt.ty
2548,4937640,26495797,3,Not so pigmented 
2549,4149345,49780104,5,Item took about 10 days to arrive but came in good working condition. 
2550,4937640,36621555,5,Good value for money
2551,4937640,17704793,5,i love it.
2553,4149345,49790653,3, Product quality is ok
2554,4937640,18982022,5,Delivery was fast. The buyer was nice and able to answer my enquiry! 😊😊
2555,4937640,17705699,4,received good.but box abot tampered.
2556,4937640,85958022,3,"Good value for money, colour not the same as shown in picture though"
2557,4149345,16429172,5,Good packing and in order
2558,4149345,13423994,3,Seller sent not working items and helped me to replace those by sending out the working items with wrong color of strap after I reported. 
2560,4937640,85958051,4,Good value for money
2561,4149345,14479925,5,Smaller den expected 
2563,4937640,18982022,5,Delivery was fast. The buyer was nice and able to answer my enquiry
2564,4937640,18983260,5,i love it.mac eyeliner
2565,4149345,15247475,0,@kawaiichan of course
2566,4937640,22564347,2,one of the brushes broke. & one of it has a shaky handle. but bristles are soft
2567,4149345,15737271,5, Excellent service by seller
2570,4937640,18984937,5,"
"
2573,4937640,18983802,5,good
2577,4937640,18983118,4,Not very pigmented. But for the price I think it's good. 
2579,4937640,18985414,1,dissapointed dry and almost empty n nothing. thought of buying 100pcs but lucky i bought 4 first.really bad impression not buying again.
2581,4149345,16742949,3,The motion detect sensor not very sensitive 
2583,4149345,86741665,0,win10 not supported? 
2586,4937640,61156559,2,You pay for what you get but I've bought better for less
2591,4937640,17702687,0,@s_nuraisiah  hi.. is the color pigmented?
2592,4937640,206979647,3, Delivery time as expected
2594,4937640,18985550,5,good
2596,4149345,17709172,4, Delivery time as expected
2599,4937640,18985619,1,box damage.all open up as box not wrap in plastic.
2600,4937640,18985619,3,good item but box badly tempered.really hope for better packaging
2601,4149345,49770593,5, Excellent service by seller
2602,4149345,86741665,5,Received but haven't try it yet
2604,4149345,14479514,5, Excellent service by seller
2608,4149345,13426504,5,Good Color but not much shimmer 
2609,4937640,18985848,1,good item but box badly tempered.really hope for better packaging
2612,4149345,13432637,5,Works well
2617,4937640,18986490,1,very dry.almost nothing.why i dont ask for refund is not worth the price sending them back.
2618,4149345,86741665,5,Delivery was considered fast because of the Lunar New Year Holidays. Credits to the seller for this. Product works exactly the same as the XBOX 360 wired controller. Thanks.
2622,4937640,19379045,5,Thx
2624,4937640,19378141,5,good
2625,4937640,112156309,0,How to order
2629,4937640,22563908,5,softn good
